name,video_id,label,method
FaceForensics++_C23/DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,ffpp_DeepFakeDetection_01_02__meeting_serious__YVGY8LOK,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,ffpp_DeepFakeDetection_01_02__outside_talking_still_laughing__YVGY8LOK,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,ffpp_DeepFakeDetection_01_02__talking_against_wall__YVGY8LOK,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,ffpp_DeepFakeDetection_01_02__walk_down_hall_angry__YVGY8LOK,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,ffpp_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,ffpp_DeepFakeDetection_01_03__hugging_happy__ISF9SP4G,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,ffpp_DeepFakeDetection_01_03__kitchen_pan__JZUXXFRB,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,ffpp_DeepFakeDetection_01_03__podium_speech_happy__480LQD1C,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,ffpp_DeepFakeDetection_01_03__talking_against_wall__JZUXXFRB,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,ffpp_DeepFakeDetection_01_04__hugging_happy__GBC7ZGDP,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_04__meeting_serious__0XUW13RW.mp4,ffpp_DeepFakeDetection_01_04__meeting_serious__0XUW13RW,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_04__talking_angry_couch__0XUW13RW.mp4,ffpp_DeepFakeDetection_01_04__talking_angry_couch__0XUW13RW,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_04__walk_down_hall_angry__GBC7ZGDP.mp4,ffpp_DeepFakeDetection_01_04__walk_down_hall_angry__GBC7ZGDP,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_09__talking_angry_couch__P70H1JB0.mp4,ffpp_DeepFakeDetection_01_09__talking_angry_couch__P70H1JB0,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__hugging_happy__4OJNJLOO.mp4,ffpp_DeepFakeDetection_01_11__hugging_happy__4OJNJLOO,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__meeting_serious__9OM3VE0Y.mp4,ffpp_DeepFakeDetection_01_11__meeting_serious__9OM3VE0Y,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__meeting_serious__FCNL2OVP.mp4,ffpp_DeepFakeDetection_01_11__meeting_serious__FCNL2OVP,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,ffpp_DeepFakeDetection_01_11__outside_talking_pan_laughing__WIZ7GKOD,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__secret_conversation__4OJNJLOO.mp4,ffpp_DeepFakeDetection_01_11__secret_conversation__4OJNJLOO,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__talking_against_wall__4OJNJLOO.mp4,ffpp_DeepFakeDetection_01_11__talking_against_wall__4OJNJLOO,1,DeepFakeDetection
FaceForensics++_C23/DeepFakeDetection/01_11__talking_against_wall__9229VVZ3.mp4,ffpp_DeepFakeDetection_01_11__talking_against_wall__9229VVZ3,1,DeepFakeDetection
