video_id,label,source,dataset,method,skip_frames,n_detected_frames,target_frames,feat_shape,video_path
celebdf_real_00000,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00000.mp4
celebdf_real_00001,0,CelebDF,CelebDF,real,6,70,64,"[64, 30]",YouTube-real/00001.mp4
celebdf_real_00002,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00002.mp4
celebdf_real_00003,0,CelebDF,CelebDF,real,5,59,64,"[64, 30]",YouTube-real/00003.mp4
celebdf_real_00004,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00004.mp4
celebdf_real_00005,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00005.mp4
celebdf_real_00006,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00006.mp4
celebdf_real_00007,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00007.mp4
celebdf_real_00008,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00008.mp4
celebdf_real_00009,0,CelebDF,CelebDF,real,9,64,64,"[64, 30]",YouTube-real/00009.mp4
celebdf_real_00010,0,CelebDF,CelebDF,real,7,61,64,"[64, 30]",YouTube-real/00010.mp4
celebdf_real_00011,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00011.mp4
celebdf_real_00012,0,CelebDF,CelebDF,real,6,67,64,"[64, 30]",YouTube-real/00012.mp4
celebdf_real_00013,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00013.mp4
celebdf_real_00014,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00014.mp4
celebdf_real_00015,0,CelebDF,CelebDF,real,7,64,64,"[64, 30]",YouTube-real/00015.mp4
celebdf_real_00016,0,CelebDF,CelebDF,real,5,64,64,"[64, 30]",YouTube-real/00016.mp4
celebdf_real_00017,0,CelebDF,CelebDF,real,4,71,64,"[64, 30]",YouTube-real/00017.mp4
celebdf_real_00018,0,CelebDF,CelebDF,real,7,63,64,"[64, 30]",YouTube-real/00018.mp4
celebdf_real_00019,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00019.mp4
celebdf_real_00020,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00020.mp4
celebdf_real_00021,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00021.mp4
celebdf_real_00022,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00022.mp4
celebdf_real_00023,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00023.mp4
celebdf_real_00024,0,CelebDF,CelebDF,real,9,61,64,"[64, 30]",YouTube-real/00024.mp4
celebdf_real_00025,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00025.mp4
celebdf_real_00026,0,CelebDF,CelebDF,real,8,63,64,"[64, 30]",YouTube-real/00026.mp4
celebdf_real_00027,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00027.mp4
celebdf_real_00028,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00028.mp4
celebdf_real_00029,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00029.mp4
celebdf_real_00030,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00030.mp4
celebdf_real_00031,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00031.mp4
celebdf_real_00032,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00032.mp4
celebdf_real_00033,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00033.mp4
celebdf_real_00034,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00034.mp4
celebdf_real_00035,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00035.mp4
celebdf_real_00036,0,CelebDF,CelebDF,real,9,62,64,"[64, 30]",YouTube-real/00036.mp4
celebdf_real_00037,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00037.mp4
celebdf_real_00038,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00038.mp4
celebdf_real_00039,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00039.mp4
celebdf_real_00040,0,CelebDF,CelebDF,real,6,64,64,"[64, 30]",YouTube-real/00040.mp4
celebdf_real_00041,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00041.mp4
celebdf_real_00042,0,CelebDF,CelebDF,real,6,64,64,"[64, 30]",YouTube-real/00042.mp4
celebdf_real_00043,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00043.mp4
celebdf_real_00044,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00044.mp4
celebdf_real_00045,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00045.mp4
celebdf_real_00046,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00046.mp4
celebdf_real_00047,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00047.mp4
celebdf_real_00048,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00048.mp4
celebdf_real_00049,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00049.mp4
celebdf_real_00050,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00050.mp4
celebdf_real_00051,0,CelebDF,CelebDF,real,6,62,64,"[64, 30]",YouTube-real/00051.mp4
celebdf_real_00052,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00052.mp4
celebdf_real_00053,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00053.mp4
celebdf_real_00054,0,CelebDF,CelebDF,real,7,60,64,"[64, 30]",YouTube-real/00054.mp4
celebdf_real_00055,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00055.mp4
celebdf_real_00056,0,CelebDF,CelebDF,real,8,67,64,"[64, 30]",YouTube-real/00056.mp4
celebdf_real_00057,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00057.mp4
celebdf_real_00058,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00058.mp4
celebdf_real_00059,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00059.mp4
celebdf_real_00060,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00060.mp4
celebdf_real_00061,0,CelebDF,CelebDF,real,6,69,64,"[64, 30]",YouTube-real/00061.mp4
celebdf_real_00062,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00062.mp4
celebdf_real_00063,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00063.mp4
celebdf_real_00064,0,CelebDF,CelebDF,real,7,62,64,"[64, 30]",YouTube-real/00064.mp4
celebdf_real_00065,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00065.mp4
celebdf_real_00066,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00066.mp4
celebdf_real_00067,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00067.mp4
celebdf_real_00068,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00068.mp4
celebdf_real_00069,0,CelebDF,CelebDF,real,7,62,64,"[64, 30]",YouTube-real/00069.mp4
celebdf_real_00070,0,CelebDF,CelebDF,real,6,60,64,"[64, 30]",YouTube-real/00070.mp4
celebdf_real_00071,0,CelebDF,CelebDF,real,8,64,64,"[64, 30]",YouTube-real/00071.mp4
celebdf_real_00072,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00072.mp4
celebdf_real_00073,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00073.mp4
celebdf_real_00074,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00074.mp4
celebdf_real_00075,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00075.mp4
celebdf_real_00076,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00076.mp4
celebdf_real_00077,0,CelebDF,CelebDF,real,7,68,64,"[64, 30]",YouTube-real/00077.mp4
celebdf_real_00078,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00078.mp4
celebdf_real_00079,0,CelebDF,CelebDF,real,6,65,64,"[64, 30]",YouTube-real/00079.mp4
celebdf_real_00080,0,CelebDF,CelebDF,real,7,69,64,"[64, 30]",YouTube-real/00080.mp4
celebdf_real_00081,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00081.mp4
celebdf_real_00082,0,CelebDF,CelebDF,real,7,66,64,"[64, 30]",YouTube-real/00082.mp4
celebdf_real_00083,0,CelebDF,CelebDF,real,6,60,64,"[64, 30]",YouTube-real/00083.mp4
celebdf_real_00084,0,CelebDF,CelebDF,real,6,68,64,"[64, 30]",YouTube-real/00084.mp4
celebdf_real_00085,0,CelebDF,CelebDF,real,10,66,64,"[64, 30]",YouTube-real/00085.mp4
celebdf_real_00086,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00086.mp4
celebdf_real_00087,0,CelebDF,CelebDF,real,7,67,64,"[64, 30]",YouTube-real/00087.mp4
celebdf_real_00088,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00088.mp4
celebdf_real_00089,0,CelebDF,CelebDF,real,8,61,64,"[64, 30]",YouTube-real/00089.mp4
celebdf_real_00090,0,CelebDF,CelebDF,real,6,70,64,"[64, 30]",YouTube-real/00090.mp4
celebdf_real_00091,0,CelebDF,CelebDF,real,7,65,64,"[64, 30]",YouTube-real/00091.mp4
celebdf_real_00092,0,CelebDF,CelebDF,real,9,61,64,"[64, 30]",YouTube-real/00092.mp4
celebdf_real_00093,0,CelebDF,CelebDF,real,8,62,64,"[64, 30]",YouTube-real/00093.mp4
celebdf_real_00094,0,CelebDF,CelebDF,real,6,69,64,"[64, 30]",YouTube-real/00094.mp4
