video_id,label,source,group_id,split
vid_004473_id16_id0_0010,1,CelebDF,celeb_id59,train
vid_001377_12_13__talking_against_wall__O3SOWBCU,1,DFD,dfd_11,train
vid_005028_id25_id19_0010,1,CelebDF,celeb_id59,train
vid_003910_id20_0003,0,CelebDF,celeb_id59,train
vid_006205_id45_id43_0008,1,CelebDF,celeb_id39,test
vid_008853_id30_id16_0003,1,CelebDF,celeb_id59,train
vid_007400_id41_id48_0009,1,CelebDF,celeb_id39,test
vid_005534_id13_id7_0000,1,CelebDF,celeb_id59,train
vid_002444_28_08__kitchen_pan__8BC35RFU,1,DFD,dfd_05,test
vid_001353_26_20__podium_speech_happy__1UEDQ3GY,1,DFD,dfd_11,train
vid_002930_02_09__kitchen_pan__6KUOFMZW,1,DFD,dfd_11,train
vid_009619_id54_id49_0007,1,CelebDF,celeb_id49,val
vid_003096_24__walk_down_hall_angry,0,DFD,dfd_10,val
vid_006219_id35_id4_0007,1,CelebDF,celeb_id59,train
vid_005526_id46_id42_0002,1,CelebDF,celeb_id39,test
vid_003634_00208,0,CelebDF,yt_00208,train
vid_007518_id49_id52_0004,1,CelebDF,celeb_id49,val
vid_006688_id10_id12_0001,1,CelebDF,celeb_id59,train
vid_002700_25_20__outside_talking_still_laughing__M786RTSM,1,DFD,dfd_11,train
vid_003353_01__walking_down_street_outside_angry,0,DFD,dfd_11,train
vid_002175_04_12__kitchen_still__B6YJ9IW1,1,DFD,dfd_11,train
vid_006959_id29_id35_0006,1,CelebDF,celeb_id59,train
vid_006574_id41_id44_0000,1,CelebDF,celeb_id39,test
vid_000170_17_08__kitchen_still__ZCEYWYTC,1,DFD,dfd_05,test
vid_001299_01_03__kitchen_pan__JZUXXFRB,1,DFD,dfd_11,train
vid_005682_id24_id23_0007,1,CelebDF,celeb_id59,train
vid_004479_id19_id21_0002,1,CelebDF,celeb_id59,train
vid_003419_21__kitchen_still,0,DFD,dfd_11,train
vid_000831_15_01__kitchen_still__02HILKYO,1,DFD,dfd_11,train
vid_001336_06_15__outside_talking_still_laughing__E98QYYXO,1,DFD,dfd_11,train
vid_006967_id20_id22_0003,1,CelebDF,celeb_id59,train
vid_008222_id26_id1_0009,1,CelebDF,celeb_id59,train
vid_002466_12_07__walking_and_outside_surprised__0VN0A2T3,1,DFD,dfd_11,train
vid_007863_id16_id9_0004,1,CelebDF,celeb_id59,train
vid_002669_26_14__outside_talking_still_laughing__ILLP29ZH,1,DFD,dfd_11,train
vid_007765_id16_id35_0005,1,CelebDF,celeb_id59,train
vid_006791_id57_id53_0002,1,CelebDF,celeb_id49,val
