video_id,label,source,group_id,split
celebdf_real_00000,0,CelebDF,yt_00000,train
celebdf_real_00001,0,CelebDF,yt_00001,train
celebdf_real_00002,0,CelebDF,yt_00002,train
celebdf_real_00003,0,CelebDF,yt_00003,train
celebdf_real_00004,0,CelebDF,yt_00004,train
celebdf_real_00005,0,CelebDF,yt_00005,train
celebdf_real_00006,0,CelebDF,yt_00006,train
celebdf_real_00007,0,CelebDF,yt_00007,train
celebdf_real_00008,0,CelebDF,yt_00008,train
celebdf_real_00009,0,CelebDF,yt_00009,train
celebdf_real_00010,0,CelebDF,yt_00010,train
celebdf_real_00011,0,CelebDF,yt_00011,train
celebdf_real_00012,0,CelebDF,yt_00012,train
celebdf_real_00013,0,CelebDF,yt_00013,train
celebdf_real_00014,0,CelebDF,yt_00014,train
celebdf_real_00015,0,CelebDF,yt_00015,train
celebdf_real_00016,0,CelebDF,yt_00016,train
celebdf_real_00017,0,CelebDF,yt_00017,train
celebdf_real_00018,0,CelebDF,yt_00018,train
celebdf_real_00019,0,CelebDF,yt_00019,train
celebdf_real_00020,0,CelebDF,yt_00020,train
celebdf_real_00021,0,CelebDF,yt_00021,train
celebdf_real_00022,0,CelebDF,yt_00022,train
celebdf_real_00023,0,CelebDF,yt_00023,train
celebdf_real_00024,0,CelebDF,yt_00024,train
celebdf_real_00025,0,CelebDF,yt_00025,train
celebdf_real_00026,0,CelebDF,yt_00026,train
celebdf_real_00027,0,CelebDF,yt_00027,train
celebdf_real_00028,0,CelebDF,yt_00028,train
celebdf_real_00029,0,CelebDF,yt_00029,train
celebdf_real_00030,0,CelebDF,yt_00030,train
celebdf_real_00031,0,CelebDF,yt_00031,train
celebdf_real_00032,0,CelebDF,yt_00032,train
celebdf_real_00033,0,CelebDF,yt_00033,train
celebdf_real_00034,0,CelebDF,yt_00034,train
celebdf_real_00035,0,CelebDF,yt_00035,train
celebdf_real_00036,0,CelebDF,yt_00036,train
celebdf_real_00037,0,CelebDF,yt_00037,train
celebdf_real_00038,0,CelebDF,yt_00038,train
celebdf_real_00039,0,CelebDF,yt_00039,train
celebdf_real_00040,0,CelebDF,yt_00040,train
celebdf_real_00041,0,CelebDF,yt_00041,train
celebdf_real_00042,0,CelebDF,yt_00042,train
celebdf_real_00043,0,CelebDF,yt_00043,train
celebdf_real_00044,0,CelebDF,yt_00044,train
celebdf_real_00045,0,CelebDF,yt_00045,train
celebdf_real_00046,0,CelebDF,yt_00046,train
