sample_id,npy_path,meta_path,emotion,text,label
vid_000000_26__walking_down_street_outside_angry,data\processed\vid_000000_26__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000000_26__walking_down_street_outside_angry\meta.json,angry,,0
vid_000001_08__talking_against_wall,data\processed\vid_000001_08__talking_against_wall\au_sequence.npy,data\processed\vid_000001_08__talking_against_wall\meta.json,,,0
vid_000002_14__walking_down_indoor_hall_disgust,data\processed\vid_000002_14__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000002_14__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000003_08__walking_down_street_outside_angry,data\processed\vid_000003_08__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000003_08__walking_down_street_outside_angry\meta.json,angry,,0
vid_000004_05__outside_talking_still_laughing,data\processed\vid_000004_05__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000004_05__outside_talking_still_laughing\meta.json,,,0
vid_000005_14__exit_phone_room,data\processed\vid_000005_14__exit_phone_room\au_sequence.npy,data\processed\vid_000005_14__exit_phone_room\meta.json,,,0
vid_000006_06__walk_down_hall_angry,data\processed\vid_000006_06__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000006_06__walk_down_hall_angry\meta.json,angry,,0
vid_000007_12__outside_talking_still_laughing,data\processed\vid_000007_12__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000007_12__outside_talking_still_laughing\meta.json,,,0
vid_000008_02__talking_against_wall,data\processed\vid_000008_02__talking_against_wall\au_sequence.npy,data\processed\vid_000008_02__talking_against_wall\meta.json,,,0
vid_000009_01__talking_against_wall,data\processed\vid_000009_01__talking_against_wall\au_sequence.npy,data\processed\vid_000009_01__talking_against_wall\meta.json,,,0
vid_000010_24__outside_talking_still_laughing,data\processed\vid_000010_24__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000010_24__outside_talking_still_laughing\meta.json,,,0
vid_000011_19__exit_phone_room,data\processed\vid_000011_19__exit_phone_room\au_sequence.npy,data\processed\vid_000011_19__exit_phone_room\meta.json,,,0
vid_000012_03__hugging_happy,data\processed\vid_000012_03__hugging_happy\au_sequence.npy,data\processed\vid_000012_03__hugging_happy\meta.json,happy,,0
vid_000013_12__walking_down_indoor_hall_disgust,data\processed\vid_000013_12__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000013_12__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000014_05__walk_down_hall_angry,data\processed\vid_000014_05__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000014_05__walk_down_hall_angry\meta.json,angry,,0
vid_000015_16__kitchen_pan,data\processed\vid_000015_16__kitchen_pan\au_sequence.npy,data\processed\vid_000015_16__kitchen_pan\meta.json,,,0
vid_000016_18__walking_down_street_outside_angry,data\processed\vid_000016_18__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000016_18__walking_down_street_outside_angry\meta.json,angry,,0
vid_000017_16__walking_down_indoor_hall_disgust,data\processed\vid_000017_16__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000017_16__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000018_12__podium_speech_happy,data\processed\vid_000018_12__podium_speech_happy\au_sequence.npy,data\processed\vid_000018_12__podium_speech_happy\meta.json,happy,,0
vid_000019_08__outside_talking_still_laughing,data\processed\vid_000019_08__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000019_08__outside_talking_still_laughing\meta.json,,,0
vid_000020_03__secret_conversation,data\processed\vid_000020_03__secret_conversation\au_sequence.npy,data\processed\vid_000020_03__secret_conversation\meta.json,,,0
vid_000021_27__kitchen_pan,data\processed\vid_000021_27__kitchen_pan\au_sequence.npy,data\processed\vid_000021_27__kitchen_pan\meta.json,,,0
vid_000022_16__exit_phone_room,data\processed\vid_000022_16__exit_phone_room\au_sequence.npy,data\processed\vid_000022_16__exit_phone_room\meta.json,,,0
vid_000023_11__talking_against_wall,data\processed\vid_000023_11__talking_against_wall\au_sequence.npy,data\processed\vid_000023_11__talking_against_wall\meta.json,,,0
vid_000024_09__walk_down_hall_angry,data\processed\vid_000024_09__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000024_09__walk_down_hall_angry\meta.json,angry,,0
vid_000025_13__outside_talking_pan_laughing,data\processed\vid_000025_13__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000025_13__outside_talking_pan_laughing\meta.json,,,0
vid_000026_14__outside_talking_still_laughing,data\processed\vid_000026_14__outside_talking_still_laughing\au_sequence.npy,data\processed\vid_000026_14__outside_talking_still_laughing\meta.json,,,0
vid_000027_07__talking_against_wall,data\processed\vid_000027_07__talking_against_wall\au_sequence.npy,data\processed\vid_000027_07__talking_against_wall\meta.json,,,0
vid_000028_04__outside_talking_pan_laughing,data\processed\vid_000028_04__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000028_04__outside_talking_pan_laughing\meta.json,,,0
vid_000029_14__secret_conversation,data\processed\vid_000029_14__secret_conversation\au_sequence.npy,data\processed\vid_000029_14__secret_conversation\meta.json,,,0
vid_000030_06__exit_phone_room,data\processed\vid_000030_06__exit_phone_room\au_sequence.npy,data\processed\vid_000030_06__exit_phone_room\meta.json,,,0
vid_000031_19__walk_down_hall_angry,data\processed\vid_000031_19__walk_down_hall_angry\au_sequence.npy,data\processed\vid_000031_19__walk_down_hall_angry\meta.json,angry,,0
vid_000032_14__walking_outside_cafe_disgusted,data\processed\vid_000032_14__walking_outside_cafe_disgusted\au_sequence.npy,data\processed\vid_000032_14__walking_outside_cafe_disgusted\meta.json,disgust,,0
vid_000033_17__kitchen_pan,data\processed\vid_000033_17__kitchen_pan\au_sequence.npy,data\processed\vid_000033_17__kitchen_pan\meta.json,,,0
vid_000034_20__walking_down_indoor_hall_disgust,data\processed\vid_000034_20__walking_down_indoor_hall_disgust\au_sequence.npy,data\processed\vid_000034_20__walking_down_indoor_hall_disgust\meta.json,disgust,,0
vid_000035_27__walking_down_street_outside_angry,data\processed\vid_000035_27__walking_down_street_outside_angry\au_sequence.npy,data\processed\vid_000035_27__walking_down_street_outside_angry\meta.json,angry,,0
vid_000036_07__outside_talking_pan_laughing,data\processed\vid_000036_07__outside_talking_pan_laughing\au_sequence.npy,data\processed\vid_000036_07__outside_talking_pan_laughing\meta.json,,,0
